humidity,sunrise,sunset,precip,temp
30.0,07:14:37,17:37:07,0.0,58.7
31.1,07:14:48,17:37:50,0.0,61.0
29.1,07:14:57,17:38:35,0.0,62.4
28.1,07:15:05,17:39:20,0.0,63.6
26.2,07:15:11,17:40:06,0.0,64.8
45.3,07:15:16,17:40:53,0.229,62.6
65.5,07:15:19,17:41:40,0.098,62.0
27.4,07:15:20,17:42:27,0.0,63.6
21.5,07:15:20,17:43:15,0.0,63.9
20.9,07:15:19,17:44:04,0.0,65.2
24.7,07:15:15,17:44:52,0.0,65.6
24.2,07:15:10,17:45:41,0.0,65.3
25.0,07:15:04,17:46:31,0.0,64.5
26.9,07:14:56,17:47:21,0.0,64.8
32.3,07:14:46,17:48:10,0.0,63.9
